,CourseCode,PedagogicalName,NRegistrations
626,BIO-478,Bachelor semestre 6,7
627,BIO-478,Master semestre 2,137
628,BIO-478,Master semestre 4,47
629,BIO-479,Master semestre 1,107
630,BIO-479,Master semestre 3,27
631,BIO-480,Master semestre 1,147
632,BIO-480,Master semestre 3,57
633,BIO-480,Semestre automne,10
634,BIO-481,Master semestre 3,21
635,BIO-482,Master semestre 1,151
636,BIO-482,Master semestre 2,19
637,BIO-482,Master semestre 3,37
638,BIO-482,Semestre automne,70
639,BIO-483,Master semestre 2,73
640,BIO-483,Master semestre 4,56
641,BIO-483,Semestre printemps,14
642,BIO-484,Master semestre 2,8
643,BIO-485,Master semestre 1,7
644,BIO-485,Master semestre 2,10
645,BIO-485,Master semestre 4,2
646,BIO-486,Master semestre 1,2
647,BIO-486,Master semestre 2,9
648,BIO-486,Master semestre 4,12
649,BIO-487,Master semestre 1,29
650,BIO-488,Master semestre 1,21
651,BIO-488,Master semestre 2,8
652,BIO-488,Master semestre 4,4
653,BIO-489,Master semestre 1,12
654,BIO-491,Master semestre 2,21
655,BIO-491,Master semestre 4,27
656,BIO-493,Master semestre 1,22
657,BIO-493,Master semestre 2,14
658,BIO-493,Master semestre 4,15
659,BIO-494,Master semestre 1,25
660,BIO-494,Master semestre 2,10
661,BIO-494,Master semestre 3,4
662,BIO-494,Master semestre 4,9
663,BIO-496,Master semestre 4,12
664,BIO-496,Semestre automne,4
665,BIO-501,Master semestre 1,89
666,BIO-501,Master semestre 3,17
667,BIO-501,Semestre printemps,13
668,BIO-502,Master semestre 1,166
669,BIO-502,Master semestre 3,35
670,BIO-502,Semestre automne,3
671,BIO-502,Semestre printemps,26
672,BIO-503,Master semestre 1,122
673,BIO-503,Master semestre 3,22
674,BIO-503,Semestre printemps,16
675,BIO-504,Master semestre 1,28
676,BIO-504,Master semestre 3,12
677,BIO-505,Master semestre 1,28
678,BIO-505,Master semestre 3,12
679,BIO-506,Master semestre 4,5
680,BIO-507,Master semestre 4,4
681,BIO-596,Master semestre 1,51
682,BIO-598,Projet Master automne,3
683,BIO-598,Projet Master printemps,28
684,BIO-598(a),Projet Master automne,20
685,BIO-598(b),Projet Master printemps,121
686,BIO-599,Projet Master automne,37
687,BIO-599,Projet Master printemps,243
688,BIOENG-312,Bachelor semestre 5,521
689,BIOENG-312,Bachelor semestre 6,70
690,BIOENG-319,Bachelor semestre 6,67
691,BIOENG-331,Bachelor semestre 5,128
692,BIOENG-332,Bachelor semestre 6,60
693,BIOENG-333,Bachelor semestre 5,76
694,BIOENG-339,Bachelor semestre 6,27
695,BIOENG-375(a),Bachelor semestre 5,30
696,BIOENG-375(b),Bachelor semestre 6,34
697,BIOENG-376,Bachelor semestre 5,25
698,BIOENG-377,Bachelor semestre 6,28
699,BIOENG-379,Bachelor semestre 6,29
700,BIOENG-390,Bachelor semestre 6,383
701,BIOENG-390,Semestre automne,2
702,BIOENG-401,Master semestre 2,16
703,BIOENG-401,Semestre printemps,5
704,BIOENG-404,Master semestre 2,38
705,BIOENG-404,Master semestre 4,77
706,BIOENG-406,Master semestre 2,1
707,BIOENG-411,Master semestre 2,4
708,BIOENG-411,Master semestre 4,12
709,BIOENG-411,Semestre automne,1
710,BIOENG-412,Master semestre 4,18
711,BIOENG-414,Master semestre 4,3
712,BIOENG-415,Master semestre 4,17
713,BIOENG-416,Master semestre 4,5
714,BIOENG-430,Master semestre 1,116
715,BIOENG-430,Master semestre 3,57
716,BIOENG-430,Semestre automne,16
717,BIOENG-431,Master semestre 3,78
718,BIOENG-432,Master semestre 2,24
719,BIOENG-433,Master semestre 2,77
720,BIOENG-433,Master semestre 4,14
721,BIOENG-433,Semestre printemps,2
722,BIOENG-434,Master semestre 2,48
723,BIOENG-436,Master semestre 2,45
724,BIOENG-437,Master semestre 1,174
725,BIOENG-437,Master semestre 3,53
726,BIOENG-437,Semestre automne,59
727,BIOENG-438,Master semestre 2,42
728,BIOENG-440,Bachelor semestre 6,194
729,BIOENG-440,Master semestre 2,22
730,BIOENG-440,Master semestre 3,60
731,BIOENG-440,Master semestre 4,2
732,BIOENG-441,Master semestre 1,76
733,BIOENG-441,Master semestre 2,53
734,BIOENG-442,Master semestre 2,246
735,BIOENG-442,Master semestre 4,122
736,BIOENG-442,Semestre printemps,82
737,BIOENG-443,Master semestre 2,62
738,BIOENG-444,Master semestre 2,71
739,BIOENG-444,Master semestre 4,33
